iteration,0,1,2,3,4,5,6,7
729,138,432,88,15,4,2,0,0
730,138,432,89,14,4,1,1,0
731,138,432,89,13,5,2,0,0
732,138,431,91,12,5,2,0,0
733,138,430,93,11,5,2,0,0
734,138,429,94,12,4,2,0,0
735,138,429,94,12,4,2,0,0
736,138,429,94,12,4,2,0,0
737,138,432,89,13,5,2,0,0
738,139,429,92,13,4,1,1,0
739,139,428,94,12,4,1,1,0
740,139,428,94,11,5,2,0,0
741,139,428,92,15,3,2,0,0
742,139,429,90,16,3,2,0,0
743,139,427,95,12,4,2,0,0
744,139,427,95,12,4,2,0,0
745,139,428,93,13,4,2,0,0
746,139,428,92,15,3,2,0,0
747,139,427,95,12,4,2,0,0
748,139,428,92,15,3,2,0,0
749,139,426,96,13,3,2,0,0
750,139,427,94,14,3,2,0,0
751,139,428,93,13,4,2,0,0
752,139,427,94,14,3,2,0,0
753,139,428,92,15,3,2,0,0
754,139,428,92,15,3,2,0,0
755,139,430,90,14,4,1,1,0
756,139,430,90,14,4,1,1,0
757,139,427,94,14,3,2,0,0
758,139,427,95,12,4,2,0,0
759,139,428,93,13,4,2,0,0
760,139,428,93,13,4,2,0,0
761,139,428,92,15,3,2,0,0
762,139,428,93,13,4,2,0,0
763,139,428,94,12,4,1,1,0
764,139,427,95,12,4,2,0,0
765,139,428,93,13,4,2,0,0
766,139,430,89,16,3,1,1,0
767,139,426,97,11,4,2,0,0
768,139,429,91,14,4,2,0,0
769,139,429,91,14,4,2,0,0
770,139,428,93,13,4,2,0,0
771,140,426,94,13,4,2,0,0
